3201	3166	3208	3774	4500	5461	5926	5899	5235	4454	3493	2752	2186	2028	2451	3110	3939	4814	6377	8883	12685	18237	23185	28577	31437	31395	29007	24216	19131	15452	12711	11441	11532	11627	12310	13177	13793	13938	13990	14040	14881	15502	16173	15736	14757	13775	12244	10518	9004	7907	7366	7576	8353	9942	11675	13453	14485	14462	13554	12200	10640	8836	7250	5824	5108	4609	5174	6332	8149	10315	12619	15640	18115	21025	23073	24686	24623	22299	18880	14380	10347	7290	5052	4191	4321	5177	6931	8731	10807	12911	14165	14818	14848	14104	13362	12802	12088	11507	9810	7766	5782	3922	2932	2780	3677	5350	7232	8057	7812	7279	6622	6866	8530	11979	16968	22298	27174	29812	30597	29740	29072	28330	27047	25501	23436	21678	20377	19855	19547	19673	19366	19037	18115	17589	17080	17054	17170	17370	17183	16577	15447	12969	10029	7344	5060	3573	3299	4398	6541	9676	12636	14854	15489	14701	13057	11473	10408	10434	11649	13955	17254	21506	26189	31199	35956	39964	43020	44058	45777	47196	48870	49179	48082	44361	38952	31948	25399	19566	15621	13667	13712	15625	18523	22271	26040	28534	29269	27262	23730	18862	14343	10385	7910	6366	5643	5557	6126	7241	9168	10998	11318	10963	9301	6524	4303	3021	2766	3635	4740	5835	6059	5840	5082	4174	3076	2336	1677	1378	1272	1107	1136	1114	1296	1574	2174	3226	4959	7903	11512	15924	19988	22219	22640	20828	17588	14093	10590	7716	6263	5997	6559	7475	8365	8839	8766	8273	7580	6729	5776	4998	4454	4059	3899	3990	4123	4324
4348	3991	3524	3619	3712	4001	4250	4295	4158	3730	3254	2614	1893	1628	1608	2015	2467	3260	4587	6486	10026	14534	19290	24371	27735	28157	26113	22366	17707	14076	11325	9290	8519	8143	8130	8987	9322	9808	10234	11345	12736	14043	15110	15681	15509	14805	13704	12602	11556	10547	10214	10273	11077	12149	13205	14121	14157	13613	12373	11073	9288	7695	6217	5303	4739	4427	4810	6330	7932	10475	13025	15494	17985	20115	21724	22695	22360	20681	17685	14012	10793	7717	5638	4471	4398	5226	7118	9501	12499	15637	17344	17845	17237	15807	14217	12931	11476	10460	8604	6679	5023	3302	2521	2704	3825	5697	7259	7964	7615	6654	6071	6395	8108	11989	17512	23017	28151	31587	32381	32035	30471	29293	27936	25855	24031	22591	21768	21694	22443	22856	23191	23379	23193	22803	22914	22839	22816	22380	21593	19798	17545	14333	11102	8206	5772	3957	3351	3930	6209	9050	12308	15161	16789	16852	15477	13587	11661	10892	11314	12647	15394	18415	22409	26721	31027	34447	37104	38902	41177	43451	45366	46300	45759	42487	37343	30947	24237	18704	14671	12520	11717	12793	14830	17756	21837	24666	26515	26313	23634	19676	15484	11663	8604	6671	5620	5311	6006	7402	9772	11920	13257	13010	11581	8588	5559	3534	2935	3218	4123	4930	5340	5161	4505	3789	3144	2392	1830	1449	1175	1016	990	1165	1355	1553	1769	2271	3540	6074	9791	13935	18387	20979	21401	19865	16912	13136	9779	7043	5849	5988	7122	8246	9477	10613	10520	10084	9407	8591	7722	6701	6001	5662	5199	5170	5270	5554
5354	5036	4349	3823	3695	3347	3265	3302	3255	3105	2834	2334	1871	1462	1347	1470	1811	2326	3260	4720	7225	10612	14510	18544	21421	22402	21314	18655	15316	12308	9828	7741	6527	5695	5480	5460	6138	6799	7526	8787	10529	12250	13949	14699	15271	15008	14444	13861	13460	13132	13186	13245	13897	14230	14460	14303	13276	12070	10232	8825	7387	6547	5523	4727	4309	4169	4829	5995	7845	10468	13017	15400	17304	18876	20297	20473	20057	19333	17121	14778	12118	9404	7058	5362	5010	5343	7263	9854	13905	17182	19740	20138	18945	16736	14545	12462	10710	9189	7455	5684	4052	3053	2639	3212	4625	6285	7783	8215	7330	6361	5554	6007	8014	11865	17495	23575	29252	32658	34112	33447	32446	30921	28689	26917	24965	23618	23327	24047	25142	26595	27575	28126	28858	28555	28657	28990	28334	26921	24925	22125	19098	15406	11558	8547	5903	4160	3612	3988	5883	8793	12006	15494	17802	18464	17177	15161	12646	11112	10523	11325	12823	15180	17643	21209	24377	27183	30189	32432	34441	37164	39643	40615	40429	38888	34430	28125	22614	17650	14229	11983	11052	11175	11897	13819	16624	19315	21320	22124	21399	18430	15037	11702	8631	6575	5451	5028	5931	7469	10089	12888	14856	15183	13638	10622	7030	4364	2976	2839	3499	4220	4397	4339	4016	3613	3197	2641	2166	1723	1292	1230	1359	1588	1960	2079	2096	2167	2722	4342	7241	11199	15138	17986	18881	17570	14800	11654	8412	6286	5218	5675	6902	8540	10130	11147	11691	11771	10947	10267	9505	8310	7530	6862	6823	6806	6840	7093
6687	5816	5082	4406	3783	3314	3072	2709	2620	2495	2368	2067	1777	1401	1187	1223	1499	1915	2676	3816	5282	7513	9839	13063	15157	15960	15587	14342	12092	10399	8467	6763	5389	4121	3728	3729	4295	4803	5981	7246	8919	10715	11919	13076	13688	13962	14145	14504	14470	15159	15533	15747	15738	15652	15327	13954	12264	9796	8191	6723	5631	5086	4763	4464	4154	4224	4763	5832	7842	10197	12649	14812	16327	17643	18419	18857	18650	18440	17640	16318	14403	11851	8992	6857	5737	5507	7218	10046	13973	17843	20299	20871	19197	16466	13739	11414	9569	7809	6046	4627	3514	2918	3141	3980	5610	7379	8484	8573	7723	6328	5429	5798	8026	11914	17384	23787	29395	33116	34954	35147	33179	31912	29998	28037	26176	25500	25741	26604	27956	29812	31496	33190	33913	34227	34118	33460	32800	30690	27457	24139	20011	15897	11773	8271	5742	4144	3455	3998	5459	8412	11756	15289	18200	19323	18248	15780	12820	10991	9685	9976	10913	12436	14118	16058	18243	20669	22839	24909	27368	30226	32322	34211	35161	33667	30368	25712	20761	16335	13760	11989	11219	10543	10392	11035	12166	14287	15856	16800	16830	15047	12796	10382	7848	6237	5250	5071	5866	7649	10314	13572	16289	17137	16127	12960	8762	5732	3520	2811	2902	3352	3841	4326	4288	4296	3751	3255	2616	2111	1659	1582	1749	2252	2614	2756	2639	2462	2342	3276	5256	8314	11408	14101	15174	14776	12473	9826	7113	5306	4605	4996	6296	8090	10088	11357	12149	12402	11867	11247	10289	9240	8356	7846	7786	8026	8378	8556
7674	6529	5743	4727	4050	3428	3184	2536	2336	2034	1865	1742	1423	1247	1074	1149	1263	1660	2365	3212	4181	5293	6671	8253	9486	10118	10664	10005	9095	8223	7226	5926	4805	3901	3395	3295	3736	4234	5289	6507	8008	9018	10089	11023	11391	12209	13029	13668	14582	15425	16084	16598	16790	15885	14819	12629	10159	8097	6361	5020	4633	4354	4321	4416	4360	4612	5033	6153	7642	9392	11863	14045	15420	16367	16892	17283	17701	18344	18872	18964	17700	15236	11978	8809	6602	5845	7067	9437	13406	17278	19577	19906	18107	15330	12384	10081	7887	6332	4900	3652	3101	3043	3787	4882	6549	8153	9161	8699	7742	6327	5376	6077	8194	12287	17771	23781	29285	33155	35419	35733	34519	32829	30685	29130	27895	27163	27661	28672	30926	33348	35972	37816	38973	39372	39104	37762	36032	33840	30271	25358	20887	16386	12144	8194	5518	3896	3142	3576	5203	7935	11269	14812	17689	19306	18318	15898	12743	10414	9102	8653	9504	10632	12011	13379	14653	15931	17576	19183	21146	23383	26130	28118	28958	28814	26390	22627	19026	15905	13716	12430	11697	10915	10354	9600	9385	9749	10844	11431	11482	10851	9454	8067	6651	5453	4953	5037	5855	7548	10439	14070	16792	18411	17880	14960	11089	7200	4555	3335	3020	3568	4417	5202	5798	6051	5538	4679	3513	2642	2218	1981	2336	2807	3332	3537	3461	3048	2510	2718	3788	5709	8203	10342	11325	11311	9943	8103	6146	4804	4134	4304	5576	7264	9178	10935	12063	12302	11938	11326	10342	9323	8500	7841	7951	8168	8780	9327
8547	7247	6351	5137	4252	3717	2984	2329	2114	1822	1559	1454	1377	1229	1153	1146	1283	1642	2252	2890	3600	4337	4692	5557	5951	6404	6775	6737	6569	6305	6170	5494	4767	4009	3609	3417	3795	4350	5347	6200	7235	8185	9033	9403	9945	10479	11558	12471	13621	14856	15951	16416	15804	15049	13231	10966	8613	6393	5105	4437	4144	4411	4642	5089	5433	5589	5840	6416	7495	9152	10893	12775	13863	14903	15285	15677	16723	18116	20139	21624	21593	19070	15369	10901	7774	6201	6468	8588	12073	15378	17495	17648	15720	12943	10433	8021	6437	4927	3628	2902	2647	3185	4054	5285	6902	8193	8869	8658	7727	6212	5511	5953	8216	12194	17562	23483	28488	32357	34424	35153	33752	32818	31096	29766	28952	28665	29650	31651	34165	37197	39370	41841	42899	42890	42665	41090	39200	36250	32121	27776	22479	17215	12512	8352	5662	3623	2711	3178	4727	7065	10441	13938	16815	17937	17070	14568	11807	9256	8215	8069	9339	10727	11901	12644	13607	14186	14993	16113	17592	19285	21348	23680	24611	24477	23351	20385	17967	15626	14432	13684	13066	12490	11241	9894	8449	7759	7550	7373	7337	7014	6589	5849	5185	4975	4781	5236	6224	7933	10612	14087	17086	19435	19122	17028	13469	9474	6433	4397	3764	4505	5610	7227	8412	8760	8380	6880	5188	3705	2741	2571	2832	3420	3902	4155	4133	3633	3057	2736	3024	4129	5674	7267	8390	8409	7681	6568	5353	4162	3722	3905	4743	6251	8044	9817	10901	11311	10990	10222	9301	8577	7674	7226	7151	7588	8310	8724
8771	7719	6453	5235	4323	3318	2891	2330	1816	1510	1316	1228	1297	1284	1246	1232	1364	1627	2119	2777	3217	3693	4020	4284	4259	4448	4521	4479	4664	4913	4823	4601	4474	4147	3898	3892	4006	4594	5312	6157	6784	7719	8160	8518	9023	9446	10241	11107	12299	13274	13867	13991	13723	12424	10691	8782	6856	5570	4920	4775	4949	5435	5961	6452	6846	6786	7017	7165	7728	8535	9768	11065	12224	13191	13523	14285	15336	17300	20256	22838	24170	22312	18272	13113	8990	6398	6070	7414	10027	12951	14836	14736	13225	10554	8444	6594	4857	3712	2707	2074	2300	2823	3924	5128	6094	6920	7563	7562	6830	5805	5335	5952	8088	12213	17153	22379	27378	30828	32890	33154	32619	31492	30299	29787	29193	29752	31674	33297	36845	39876	43027	45501	46326	46384	45313	43999	42401	39739	35744	30840	24861	19530	13895	9246	5915	3598	2658	2745	4214	6698	9662	12979	15414	16111	15205	12500	10051	8016	7341	8099	9790	11798	13538	14852	15568	15740	15999	16356	17196	18345	19660	21394	22399	22104	21078	19355	17336	16181	15654	15535	15162	14158	12495	10896	8834	7157	5921	5128	4712	4463	4339	4173	4225	4454	4649	5318	6525	7962	10614	13866	16876	18907	19730	18602	15437	12096	8694	6387	5529	6034	7624	9601	11788	12839	12199	10250	7396	5265	3856	3436	3545	4028	4572	4864	4759	4373	3833	3196	2912	3356	4214	5269	6080	6325	6083	5355	4478	3841	3489	3523	4289	5539	7160	8693	9509	9704	9404	9067	8194	7267	6349	5993	5975	6243	6884	7789
8544	7483	6336	4993	4006	3135	2630	2076	1642	1338	1159	1152	1279	1293	1337	1351	1440	1722	2030	2454	2800	3230	3545	3710	3627	3646	3384	3326	3413	3515	3672	3897	4022	4018	3838	3686	3944	4401	5034	5900	6740	7366	7834	8113	8312	8860	9482	10238	10870	11632	11964	11949	10942	9785	7993	6594	5534	5054	5192	5665	6394	6998	7778	8186	8564	8615	8125	7743	7708	8094	8872	9592	10707	11674	11807	12375	13163	15350	18527	22479	24257	23760	19637	14316	9698	6714	5665	6455	8516	10855	12335	12304	10954	8758	6527	5047	3825	2756	1997	1690	1898	2443	3184	3909	4550	5400	5822	5915	5832	5179	4906	5867	8002	11743	16566	21149	25372	28461	30071	31101	30617	30062	29101	28525	28778	30294	32779	35205	39308	42804	45666	47935	48847	48399	47898	46715	45093	42785	38838	34062	27965	21521	15690	10451	6676	3919	2623	2753	3845	6173	8959	11594	13772	14191	12988	10514	8197	6958	6993	8586	11192	14025	16449	18105	19199	19556	19372	19734	19917	20389	21251	21898	22482	21845	20940	19381	18453	17698	17846	17867	17470	16293	14529	12335	10007	7458	5473	4362	3589	3217	3156	3345	3711	4260	4872	5552	6588	8111	10286	12851	15738	18511	19866	19525	17464	14244	10997	8530	7293	7845	9805	12212	14905	16282	16263	14155	11019	7744	5596	4607	4421	4760	5130	5355	5252	4981	4483	3800	3266	3208	3375	4041	4655	4939	4733	4479	3837	3437	3506	3611	4227	5330	6638	7872	8637	8446	8299	7769	7205	6086	5464	4985	4471	4691	5243	6031
8123	7173	6131	4672	3790	3034	2560	2198	1808	1301	1136	1067	1150	1209	1246	1373	1486	1653	1941	2177	2392	2862	3092	3382	3335	3292	2955	2760	2491	2538	2732	3000	3177	3144	3158	3051	3332	3785	4467	5428	6182	7205	7768	8069	8388	8751	9024	9443	9731	9865	9850	9284	8107	7013	5744	4758	4437	4571	5438	6677	7837	8779	9631	10011	10033	9616	8839	8169	7653	7728	8068	9194	10087	10700	10728	10610	10898	12786	16113	19625	22455	22152	19244	14582	10296	6917	5765	6169	7794	9442	10559	10350	9071	7119	5476	4004	2933	2057	1553	1280	1539	1836	2335	2941	3375	3886	4456	4723	4918	4917	4943	5726	8015	11356	15463	19165	23150	25432	27656	28059	27719	27769	27111	26960	27829	29731	33053	35946	40130	43977	47483	49402	49915	49546	48954	48555	47156	45466	42064	36546	30446	23360	17600	12098	7549	4644	3056	2801	3983	6051	8638	10887	12564	12416	10715	8767	7084	6301	7370	9371	12590	16704	19778	22487	24121	24940	25074	25470	25171	25381	25590	25217	24524	23451	22386	21413	20853	20853	21413	21319	20798	18755	16577	13857	11034	8377	6274	4686	3635	3088	3045	3175	3658	4018	4559	5432	6280	7423	9165	11321	14642	17270	19298	20201	19035	16446	13153	10355	9161	9272	10869	13850	17158	19533	19819	18148	14487	10913	7925	6254	5647	5530	5754	5565	5496	5424	4928	4335	3705	3190	3307	3656	3922	3958	3939	3934	3534	3530	3873	4235	4931	5913	7115	7790	8253	8246	7552	7018	6279	5687	4915	4121	3522	3323	3585	4168
7078	6629	5710	4502	3670	3137	3019	2785	2399	1956	1411	1116	1044	1039	1111	1254	1315	1472	1767	1749	1942	2230	2592	2980	3047	3012	2707	2262	1905	1892	1919	2143	2307	2250	2258	2320	2609	3012	3688	4654	5786	7020	7773	8663	8696	8894	8733	8812	8672	8406	7800	7024	6020	4786	3884	3453	3443	4217	5602	7118	8670	9999	10905	11002	10570	10125	9009	8033	7562	7485	7889	9021	10092	10391	10305	9839	9548	10256	12698	16295	18581	19105	17490	13688	10042	7353	6295	6308	7585	9111	9572	9135	7957	6198	4719	3336	2254	1569	1188	1028	1182	1468	1908	2562	3191	3840	4324	4794	5044	5453	5622	6624	8273	11300	14761	17840	20541	22987	24413	24773	24787	24515	24721	25070	26179	28671	32050	36028	39833	43715	47072	49059	49851	49193	49217	48353	48149	46703	43234	38206	31833	24990	18938	13145	8841	5354	3735	3246	4239	6345	8689	10529	11613	10897	9264	7543	6446	6380	7957	10645	14836	19088	22842	26231	28302	29423	30484	31020	31366	31164	30333	29710	28355	26778	25276	24207	24625	24941	25428	24847	23770	21802	18770	15708	12642	9490	7001	5221	4095	3567	3449	3545	3668	3883	4214	4639	5334	6374	7864	9756	12428	15731	18770	20152	19760	17523	14947	11997	10291	10129	11646	14616	17903	20845	22332	21365	18187	14143	10812	8279	7002	6486	6076	5944	5680	5609	5324	4736	4285	3836	3477	3583	3558	3657	3600	3859	4026	4396	5027	5803	6583	7616	8208	8903	8499	8384	7830	6961	6337	5444	4599	3761	3006	2353	2283	2618
